time;emission(Tg/Year)
2.007166666666666742e+03;2.685045594526094259e+00
2.007250000000000000e+03;2.568327881385943368e+00
2.007333333333333258e+03;2.541688326349001770e+00
2.007416666666666742e+03;2.450349373151053722e+00
2.007500000000000000e+03;2.494035031778667921e+00
2.007583333333333258e+03;2.385644952352113268e+00
2.007666666666666742e+03;2.472788522164373948e+00
2.007750000000000000e+03;2.479354052409065812e+00
2.007833333333333258e+03;2.407546005113332832e+00
2.007916666666666742e+03;2.479924893045125422e+00
2.008000000000000000e+03;2.470121092146237984e+00
2.008083333333333258e+03;2.512809974221379861e+00
2.008166666666666742e+03;2.424100593763089506e+00
2.008250000000000000e+03;2.552483073908275557e+00
2.008333333333333258e+03;2.425273003804226502e+00
2.008416666666666742e+03;2.526145940819854552e+00
2.008500000000000000e+03;2.535578420484080997e+00
2.008583333333333258e+03;2.517137279633177904e+00
2.008666666666666742e+03;2.493636484558374278e+00
2.008750000000000000e+03;2.577185541794341006e+00
2.008833333333333258e+03;2.354898598825931444e+00
2.008916666666666742e+03;2.362255863307115344e+00
2.009000000000000000e+03;2.460823891795514751e+00
2.009083333333333258e+03;2.429766229385777354e+00
2.009166666666666742e+03;2.608446459255306049e+00
2.009250000000000000e+03;2.542119995279988220e+00
2.009333333333333258e+03;2.455904767379645026e+00
2.009416666666666742e+03;2.431477772148965322e+00
2.009500000000000000e+03;2.501830610893228002e+00
2.009583333333333258e+03;2.426466695674591723e+00
2.009666666666666742e+03;2.665807164880699354e+00
2.009750000000000000e+03;2.496585198408922679e+00
2.009833333333333258e+03;2.455996172363044572e+00
2.009916666666666742e+03;2.391604705231896943e+00
2.010000000000000000e+03;2.362442911176119598e+00
2.010083333333333258e+03;2.469962445249441529e+00
2.010166666666666742e+03;2.540564982399171612e+00
2.010250000000000000e+03;2.383656354465272909e+00
2.010333333333333258e+03;2.603086239114460465e+00
2.010416666666666742e+03;2.495025233045762736e+00
2.010500000000000000e+03;2.536633880744145308e+00
2.010583333333333258e+03;2.511407188178018668e+00
2.010666666666666742e+03;2.490929940425022693e+00
2.010750000000000000e+03;2.622595283433171165e+00
2.010833333333333258e+03;2.472403272768846527e+00
2.010916666666666742e+03;2.410673769936090061e+00
2.011000000000000000e+03;2.415440195240015075e+00
2.011083333333333258e+03;2.514630601342402905e+00
2.011166666666666742e+03;2.533051394180503291e+00
2.011250000000000000e+03;2.547179981852443209e+00
2.011333333333333258e+03;2.470298080790046757e+00
2.011416666666666742e+03;2.502896162195795693e+00
2.011500000000000000e+03;2.638793910182191116e+00
2.011583333333333258e+03;2.436128628045747035e+00
2.011666666666666742e+03;2.466975662040747697e+00
2.011750000000000000e+03;2.419513517228215171e+00
2.011833333333333258e+03;2.369592092226304292e+00
2.011916666666666742e+03;2.386841211860641465e+00
2.012000000000000000e+03;2.475537026958275710e+00
2.012083333333333258e+03;2.539619838363146975e+00
2.012166666666666742e+03;2.491042178989022027e+00
2.012250000000000000e+03;2.529753601878241831e+00
2.012333333333333258e+03;2.514008360008961773e+00
2.012416666666666742e+03;2.480564283572407991e+00
2.012500000000000000e+03;2.584929338327741632e+00
2.012583333333333258e+03;2.512760492948852509e+00
2.012666666666666742e+03;2.532312554844885710e+00
2.012750000000000000e+03;2.442863828761447920e+00
2.012833333333333258e+03;2.431808909720631018e+00
2.012916666666666742e+03;2.447156868783187278e+00
2.013000000000000000e+03;2.535028779012924005e+00
2.013083333333333258e+03;2.544563137669199282e+00
2.013166666666666742e+03;2.468157977463380615e+00
2.013250000000000000e+03;2.508422916006184167e+00
2.013333333333333258e+03;2.554085731128980186e+00
2.013416666666666742e+03;2.621562202184901214e+00
2.013500000000000000e+03;2.489763186167150977e+00
2.013583333333333258e+03;2.469170853456712500e+00
2.013666666666666742e+03;2.525580310999171019e+00
2.013750000000000000e+03;2.553514248863175684e+00
2.013833333333333258e+03;2.530037104718559693e+00
