time;coal;gas;oil
01.02.2015;2.9261103;3.1974747;2.3558986
01.03.2015;3.239622;3.5400612;2.6083164
01.04.2015;3.135118;3.4258657;2.524177
01.05.2015;3.239622;3.5400612;2.6083164
01.06.2015;3.135118;3.4258657;2.524177
01.07.2015;3.239622;3.5400612;2.6083164
01.08.2015;3.239622;3.5400612;2.6083164
01.09.2015;3.135118;3.4258657;2.524177
01.10.2015;3.239622;3.5400612;2.6083164
01.11.2015;3.135118;3.4258657;2.524177
01.12.2015;3.239622;3.5400612;2.6083164
01.01.2016;3.0713923;3.5446537;2.6910355
01.02.2016;2.8732378;3.3159664;2.5174205
01.03.2016;3.0713923;3.5446537;2.6910355
01.04.2016;2.9723148;3.4303102;2.604228
01.05.2016;3.0713923;3.5446537;2.6910355
01.06.2016;2.9723148;3.4303102;2.604228
01.07.2016;3.0713923;3.5446537;2.6910355
01.08.2016;3.0713923;3.5446537;2.6910355
01.09.2016;2.9723148;3.4303102;2.604228
01.10.2016;3.0713923;3.5446537;2.6910355
01.11.2016;2.9723148;3.4303102;2.604228
01.12.2016;3.0713923;3.5446537;2.6910355
01.01.2017;3.1735082;3.6342635;2.6933692
01.02.2017;2.8663948;3.2825608;2.4327207
01.03.2017;3.1735082;3.6342635;2.6933692
01.04.2017;3.0711372;3.5170293;2.6064863
01.05.2017;3.1735082;3.6342635;2.6933692
01.06.2017;3.0711372;3.5170293;2.6064863
01.07.2017;3.1735082;3.6342635;2.6933692
01.08.2017;3.1735082;3.6342635;2.6933692
01.09.2017;3.0711372;3.5170293;2.6064863
01.10.2017;3.1735082;3.6342635;2.6933692
01.11.2017;3.0711372;3.5170293;2.6064863
01.12.2017;3.1735082;3.6342635;2.6933692
01.01.2018;3.1204662;3.7014024;2.732332
01.02.2018;2.8184853;3.3432019;2.4679122
01.03.2018;3.1204662;3.7014024;2.732332
01.04.2018;3.0198057;3.582002;2.6441922
01.05.2018;3.1204662;3.7014024;2.732332
01.06.2018;3.0198057;3.582002;2.6441922
01.07.2018;3.1204662;3.7014024;2.732332
01.08.2018;3.1204662;3.7014024;2.732332
01.09.2018;3.0198057;3.582002;2.6441922
01.10.2018;3.1204662;3.7014024;2.732332
01.11.2018;3.0198057;3.582002;2.6441922
01.12.2018;3.1204662;3.7014024;2.732332
01.01.2019;3.145634;3.6907327;2.7321584
01.02.2019;2.8412175;3.333565;2.4677563
01.03.2019;3.145634;3.6907327;2.7321584
01.04.2019;3.0441616;3.5716767;2.6440246
01.05.2019;3.145634;3.6907327;2.7321584
01.06.2019;3.0441616;3.5716767;2.6440246
01.07.2019;3.145634;3.6907327;2.7321584
01.08.2019;3.145634;3.6907327;2.7321584
01.09.2019;3.0441616;3.5716767;2.6440246
01.10.2019;3.145634;3.6907327;2.7321584
01.11.2019;3.0441616;3.5716767;2.6440246
01.12.2019;3.145634;3.6907327;2.7321584
01.01.2020;3.171444;3.6804159;2.732223
01.02.2020;2.9668353;3.4429693;2.5559506
01.03.2020;3.171444;3.6804159;2.732223
01.04.2020;3.0691397;3.5616927;2.644087
01.05.2020;3.171444;3.6804159;2.732223
01.06.2020;3.0691397;3.5616927;2.644087
01.07.2020;3.171444;3.6804159;2.732223
01.08.2020;3.171444;3.6804159;2.732223
01.09.2020;3.0691397;3.5616927;2.644087
01.10.2020;3.171444;3.6804159;2.732223
01.11.2020;3.0691397;3.5616927;2.644087
01.12.2020;3.171444;3.6804159;2.732223
01.01.2021;3.1979089;3.6704495;2.7325313
01.02.2021;2.8884337;3.3152442;2.4680927
01.03.2021;3.1979089;3.6704495;2.7325313
01.04.2021;3.0947504;3.5520477;2.644385
01.05.2021;3.1979089;3.6704495;2.7325313
01.06.2021;3.0947504;3.5520477;2.644385
01.07.2021;3.1979089;3.6704495;2.7325313
01.08.2021;3.1979089;3.6704495;2.7325313
01.09.2021;3.0947504;3.5520477;2.644385
01.10.2021;3.1979089;3.6704495;2.7325313
01.11.2021;3.0947504;3.5520477;2.644385
01.12.2021;3.1979089;3.6704495;2.7325313
